codigo_suministro,sed_id,alimentador_id,score_anomalia,percentil_prioridad,consumo_diario_promedio,tendencia_mensual,meses_cero_pct,prioridad
SUM_002418,SED_2475,ALIM_311,66.29,33.71,0.2,0.0744,66.7,NO_PRIORIZADO
SUM_008220,SED_0039,ALIM_311,66.28,33.717,11.87,-0.3284,0.0,NO_PRIORIZADO
SUM_010694,SED_1216,ALIM_311,66.28,33.723,4.16,0.1189,0.0,NO_PRIORIZADO
SUM_014805,SED_2329,ALIM_311,66.27,33.73,1.91,-0.0808,0.0,NO_PRIORIZADO
SUM_004165,SED_2105,ALIM_311,66.26,33.737,0.39,-0.014,0.0,NO_PRIORIZADO
SUM_017077,SED_2363,ALIM_311,66.26,33.744,0.67,-0.0017,0.0,NO_PRIORIZADO
SUM_007532,SED_2002,ALIM_311,66.25,33.75,3.1,-0.1486,0.0,NO_PRIORIZADO
SUM_004113,SED_1538,ALIM_311,66.24,33.757,0.71,-0.0466,0.0,NO_PRIORIZADO
SUM_008284,SED_2315,ALIM_311,66.24,33.764,4.44,-0.0774,0.0,NO_PRIORIZADO
SUM_000318,SED_2475,ALIM_311,66.23,33.77,2.07,0.1718,0.0,NO_PRIORIZADO
SUM_000838,SED_0362,ALIM_311,66.22,33.784,0.7,0.1445,8.3,NO_PRIORIZADO
SUM_007540,SED_1822,ALIM_311,66.22,33.777,2.17,0.0441,8.3,NO_PRIORIZADO
SUM_009987,SED_0933,ALIM_311,66.21,33.79,42.24,0.2905,0.0,NO_PRIORIZADO
SUM_014697,SED_2407,ALIM_311,66.2,33.797,4.86,-0.4561,0.0,NO_PRIORIZADO
SUM_015327,SED_2170,ALIM_311,66.2,33.804,5.78,-0.1891,0.0,NO_PRIORIZADO
SUM_006856,SED_1497,ALIM_311,66.19,33.81,3.09,-0.0953,0.0,NO_PRIORIZADO
SUM_002309,SED_2407,ALIM_311,66.18,33.824,4.71,-0.2051,0.0,NO_PRIORIZADO
SUM_003091,SED_1199,ALIM_311,66.18,33.817,29.09,-0.6673,0.0,NO_PRIORIZADO
SUM_016463,SED_0229,ALIM_311,66.17,33.831,19.8,-0.3116,0.0,NO_PRIORIZADO
SUM_018580,SED_2105,ALIM_311,66.16,33.844,11.62,-0.2561,0.0,NO_PRIORIZADO
SUM_018906,SED_1137,ALIM_311,66.16,33.837,3.3,0.0264,0.0,NO_PRIORIZADO
SUM_012619,SED_1137,ALIM_311,66.15,33.851,0.64,-0.0105,0.0,NO_PRIORIZADO
SUM_004713,SED_0212,ALIM_311,66.14,33.864,1.59,0.0203,0.0,NO_PRIORIZADO
SUM_016812,SED_1207,ALIM_311,66.14,33.857,4.28,-0.0368,0.0,NO_PRIORIZADO
SUM_013352,SED_0061,ALIM_311,66.13,33.871,2.95,0.1609,8.3,NO_PRIORIZADO
SUM_002897,SED_1497,ALIM_311,66.12,33.877,12.66,-0.1603,0.0,NO_PRIORIZADO
SUM_005334,SED_2556,ALIM_311,66.12,33.884,5.04,-0.1169,0.0,NO_PRIORIZADO
SUM_016810,SED_1216,ALIM_311,66.11,33.891,2.03,0.0497,0.0,NO_PRIORIZADO
SUM_004416,SED_1361,ALIM_311,66.1,33.897,3.33,0.2908,0.0,NO_PRIORIZADO
